file_name,userneed_geef_me_context,userneed_help_me,userneed_hou_me_op_de_hoogte,userneed_raak_me_verbind_me,userneed_vermaak_me
0,0.11957381,0.044533264,0.12308365,0.08426891,0.6285405
0,0.017739477,0.0028372132,0.009671224,0.96193784,0.00781424
0,0.7628144,0.0065651373,0.12116866,0.03433455,0.07511718
0,0.61539996,0.02302798,0.100051075,0.056694284,0.20482665
0,0.027910735,0.0035958823,0.031106325,0.9220885,0.015298569
0,0.07931958,0.46115047,0.037039593,0.01969836,0.40279222
0,0.0022473568,0.95498496,0.0034905553,0.005730557,0.03354662
0,0.20585853,0.17376249,0.022047,0.060941808,0.53739005
0,0.6423039,0.018064383,0.019873463,0.15361337,0.1661448
0,0.4451582,0.12436104,0.12181396,0.028075831,0.2805911
