article_id,APP_ID,ARTICLE_ID,DERIVED_TSTAMP,GEO_COUNTRY,GEO_ZIPCODE,REFR_URLHOST,QUASI_USER_ID,IS_LOGGED_IN,dt_hour,dt_weekday,dt_dayofmonth,dt_month
6220992,nu.android,6220992,2022-08-31 11:10:26.133000+00:00,NL,7609,5,9ac49e695e84ed528977e918a8b56690,0,11,2,31,8
6221051,nu.web,6221051,2022-09-01 18:15:48.771000+00:00,NL,7071,3,6cfbc147ff75fafd27f0ff0c507ef326,1,18,3,1,9
6221091,nu.ios,6221091,2022-09-01 05:44:20.143000+00:00,NL,1031,5,735d4a9f97ba8a359098338320aa8164,0,5,3,1,9
6221108,nu.ios,6221108,2022-08-31 18:11:34.921000+00:00,NL,3033,5,bbf534b9b2be63b5dc581c8ff9993e6e,0,18,2,31,8
6221144,nu.ios,6221144,2022-09-01 05:25:56.571000+00:00,NL,1186,5,a2f6212712e17df13778e86841261ade,0,5,3,1,9
6221157,nu.android,6221157,2022-09-01 06:26:52.142000+00:00,NL,3071,5,da0952157ee6cb342db35338d2288309,0,6,3,1,9
6221319,nu.android,6221319,2022-09-01 15:05:13.923000+00:00,NL,1946,5,9066ec011aa98bc41a52a429aa5e0c60,0,15,3,1,9
6221352,nu.ios,6221352,2022-09-01 22:06:33.047000+00:00,NL,9114,5,1b92cdb6e8392b666af9c580d4dc2935,0,22,3,1,9
6221408,nu.web,6221408,2022-09-02 06:29:58.088000+00:00,NL,3526,1,def22936aba21f1fcb3b6f5cc5b2d9e6,1,6,4,2,9
6221408,nu.ios,6221408,2022-09-02 08:44:01.251000+00:00,NL,1216,5,5eacaf43c503e01141adbb589a5c193d,0,8,4,2,9
6221420,nu.android,6221420,2022-09-02 07:21:23.315000+00:00,NL,3959,5,309ae9d6073ce0b0134c86ca2507698e,0,7,4,2,9
6221513,nu.android,6221513,2022-09-02 12:38:54.741000+00:00,NL,2132,5,75bd1caee5fd9331f112fccd75de1634,0,12,4,2,9
6221527,nu.web,6221527,2022-09-05 07:58:10.988000+00:00,NL,3056,1,83047b10f6613a0b32e8a8141fead543,0,7,0,5,9
6221575,nu.android,6221575,2022-09-05 19:54:04.623000+00:00,NL,2513,5,e31ac23ca5a973d66fa713f8b6d6938b,0,19,0,5,9
6221632,nu.web,6221632,2022-09-03 20:29:17.003000+00:00,GR,,1,62b84df1d9d03823d7456c715cd79b92,1,20,5,3,9
6221650,nu.android,6221650,2022-09-02 23:53:32.502000+00:00,ES,03015,5,5ca2ac94fb5918645a2b3eb386d15824,0,23,4,2,9
6221652,nu.ios,6221652,2022-09-03 06:49:11.242000+00:00,NL,9403,5,0319480f035fcf216149dd68cfa7fb10,0,6,5,3,9
6221699,nu.web,6221699,2022-09-06 14:44:35.209000+00:00,NL,9104,1,08f41051f4a4c7b2f3fa728176536b04,1,14,1,6,9
6221703,nu.web,6221703,2022-09-03 17:23:47.587000+00:00,NL,2131,3,4e66c57b61aa18b7e45e8fa743ef985c,0,17,5,3,9
6221742,nu.web,6221742,2022-09-03 14:48:33.425000+00:00,NL,2021,1,13b3a9adbd5244105a270d4d56a46b3a,1,14,5,3,9
6221753,nu.web,6221753,2022-09-03 22:22:15.356000+00:00,NL,2513,1,f4e52064fbd141d03c9cf04d317e6e8b,1,22,5,3,9
6221776,nu.ios,6221776,2022-09-03 17:31:08.891000+00:00,NL,1032,5,93ba947a5048dae184389ab632961bc0,0,17,5,3,9
6221793,nu.web,6221793,2022-09-03 19:23:56.470000+00:00,NL,4834,3,c57f1e19b40975729ef94addb065b228,1,19,5,3,9
6221798,nu.web,6221798,2022-09-04 12:40:25.066000+00:00,NL,7101,6,7f07a0800cfb1654d61b7373e44d8568,1,12,6,4,9
6221816,nu.ios,6221816,2022-09-03 21:37:01.963000+00:00,NL,1092,5,1cfb85e7d42fba92ad8d01b05e481253,0,21,5,3,9
